restaurant_id,name,cuisine_type,city,active_since,avg_rating
34,Narang's House,Chinese,Mumbai,2022-03-22,2.8
35,Merchant's Corner,Italian,Kolkata,2023-09-04,4.1
36,Mohan's Diner,Thai,Delhi,2020-09-28,2.82
37,Sehgal's Bistro,North Indian,Mumbai,2023-11-25,4.02
38,Sandhu's Corner,Continental,Bengaluru,2022-09-05,3.42
39,Ganesan's House,South Indian,Delhi,2021-10-03,2.77
40,Sawhney's Bistro,Chinese,Bengaluru,2020-05-20,3.48
41,Panchal's House,Chinese,Ahmedabad,2021-12-20,
42,Sekhon's Diner,Continental,Kochi,2023-11-07,4.33
43,Basak's Kitchen,Chinese,Delhi,2023-04-22,3.66
44,Pandit's Bistro,Fast Food,Bengaluru,2021-05-22,4.35
45,Saran's Express,Beverages,Kochi,2024-01-16,3.26
46,Maharaj's House,North Indian,Chennai,2021-02-24,4.06
47,Bhandari's House,Continental,Chennai,2023-08-16,3.84
48,Borde's Diner,Thai,Kolkata,2020-08-18,2.73
49,Ravi's Kitchen,Desserts,Mumbai,2022-01-09,3.18
50,Patla's Corner,Beverages,Kolkata,2022-01-18,4.84
51,Varghese's Bistro,South Indian,Mumbai,2023-04-17,3.91
52,Dutta's Kitchen,North Indian,Kolkata,2022-11-03,2.76
53,Balasubramanian's Corner,Continental,Kolkata,2023-12-08,3.29
54,Dhar's Express,Beverages,Bengaluru,2021-07-22,3.57
55,Sarma's Diner,Chinese,Jaipur,2021-10-31,2.8
56,Banerjee's Corner,Biryani,Delhi,2021-09-27,3.54
57,Date's Corner,Italian,Mumbai,2021-05-15,4.28
58,Bhavsar's Bistro,Beverages,Kochi,2020-04-22,2.81
59,Keer's House,Chinese,Delhi,2020-01-26,3.34
60,Peri's Diner,Thai,Pune,2022-12-07,4.3
61,Pathak's Cafe,Chinese,Pune,2020-09-16,3.84
62,Rajagopal's House,South Indian,Mumbai,2021-11-17,4.4
63,Bali's Kitchen,Mughlai,Kochi,2023-07-09,4.54
64,Dube's Cafe,North Indian,Ahmedabad,2024-10-25,2.78
65,Sengupta's Cafe,South Indian,Kochi,2023-10-12,3.96
66,Prabhakar's Express,North Indian,Mumbai,2024-10-24,4.33
67,Prabhu's Bistro,Fast Food,Kolkata,2020-11-03,4.67
68,Sawhney's Kitchen,Desserts,Kolkata,2021-04-04,3.03
69,Bose's House,Fast Food,Chennai,2024-08-18,3.37
70,Devan's Express,Biryani,Mumbai,2021-01-02,2.79
71,Wagle's Kitchen,Continental,Delhi,2024-12-01,3.14
72,Peri's Corner,Mughlai,Pune,2020-06-25,3.72
73,Rao's Diner,Mughlai,Kochi,2024-05-25,
74,Murthy's Bistro,Fast Food,Kochi,2022-10-07,3.33
75,Mallick's House,Desserts,Hyderabad,2020-11-04,4.99
76,Krish's Diner,Desserts,Pune,2023-07-26,2.62
77,Comar's Cafe,North Indian,Kolkata,2024-10-04,4.61
78,Bal's Diner,Desserts,Hyderabad,2022-05-09,4.37
79,Grewal's Diner,Healthy,Chennai,2020-07-09,3.78
80,Tata's Corner,Desserts,Kolkata,2023-12-06,2.71
81,Vasa's House,South Indian,Kochi,2020-07-14,4.75
82,Ram's Bistro,South Indian,Kochi,2023-03-08,3.81
83,Dalal's Diner,Italian,Chennai,2021-06-18,2.75
84,Lala's Bistro,Healthy,Pune,2021-10-13,4.64
85,Lad's Diner,Chinese,Kochi,2020-08-11,3.69
86,Sehgal's Bistro,Fast Food,Kolkata,2020-09-04,2.97
87,Kala's Diner,Thai,Chennai,2022-08-06,3.89
88,Mangal's Diner,Biryani,Chennai,2024-08-19,3.24
89,Swaminathan's Diner,Fast Food,Bengaluru,2020-07-05,4.29
90,Iyengar's Bistro,Desserts,Mumbai,2023-10-18,4.31
91,Das's Diner,North Indian,Kolkata,2024-10-16,3.32
92,Deshmukh's Diner,South Indian,Ahmedabad,2020-07-27,3.69
93,Borah's Kitchen,North Indian,Hyderabad,2020-09-24,4.53
94,Seth's House,Biryani,Delhi,2023-04-07,3.08
95,Gera's Kitchen,North Indian,Delhi,2021-02-08,4.01
96,Saxena's Diner,South Indian,Pune,2020-09-07,4.77
97,Chahal's Diner,Beverages,Kolkata,2024-08-09,2.7
98,Nagarajan's Bistro,Biryani,Kolkata,2020-12-19,4.34
99,Palan's Cafe,Mughlai,Ahmedabad,2024-12-14,3.45
100,Bhattacharyya's Express,Italian,Chennai,2022-10-18,2.96
101,Mannan's Kitchen,South Indian,Chennai,2022-02-23,3.59
102,Mital's Corner,Desserts,Hyderabad,2023-07-15,2.93
103,Dugar's Kitchen,Continental,Pune,2022-09-09,4.99
104,Ghosh's Express,Desserts,Pune,2022-03-06,3.91
105,Pathak's Express,Italian,Mumbai,2024-07-18,
106,Trivedi's Bistro,Desserts,Pune,2024-04-19,4.47
107,Kapur's Diner,South Indian,Hyderabad,2023-09-07,4.0
108,Dara's Corner,Healthy,Mumbai,2024-04-13,3.18
109,Iyer's Corner,Continental,Pune,2024-09-14,4.99
110,Dewan's Diner,Beverages,Pune,2024-07-09,4.98
111,Khalsa's Express,North Indian,Pune,2023-03-08,4.37
112,Tak's Diner,Thai,Jaipur,2021-09-24,3.95
113,Bal's Kitchen,Italian,Kochi,2021-03-24,
114,Patel's Cafe,Beverages,Hyderabad,2024-07-09,2.65
115,Pillay's Corner,Fast Food,Mumbai,2020-02-14,2.91
116,Sibal's Diner,South Indian,Jaipur,2024-10-28,2.95
117,Dayal's House,Biryani,Kolkata,2023-04-15,3.48
118,Chadha's Diner,Chinese,Kolkata,2024-06-09,2.84
119,Bhatti's Cafe,Chinese,Jaipur,2023-11-21,4.13
120,More's Cafe,Italian,Kochi,2024-07-26,4.74
