review_id,order_id,rating,review_text,review_date
100,19194,2,Average experience.,2026-01-18
101,4704,4,Best biryani in town.,2025-11-02
102,18705,5,Fresh and tasty.,2026-06-08
103,8423,4,Perfect as always.,2025-11-25
104,24217,4,Packaging could be better.,2025-10-02
105,6256,5,Portion size was small.,2025-06-21
106,9323,1,Best biryani in town.,2025-10-06
107,931,1,Order was missing an item.,2026-06-25
108,17451,3,Fresh and tasty.,2026-02-01
109,24447,5,Perfect as always.,2026-05-15
110,2956,5,Rider was polite and quick.,2025-11-25
111,20154,5,Order was missing an item.,2025-05-27
112,11220,2,Rider was polite and quick.,2024-12-11
113,11842,4,Would not recommend.,2026-05-20
114,6090,4,Best biryani in town.,2025-05-22
115,8702,5,Food was cold on arrival.,2025-05-03
116,21628,4,Best biryani in town.,2025-03-17
117,15805,5,Portion size was small.,2025-06-30
118,16806,5,Would not recommend.,2025-05-31
119,15386,2,Rider was polite and quick.,2026-01-22
120,8233,5,"Great food, arrived hot!",2026-03-30
121,17847,5,Average experience.,2026-04-21
122,15006,4,Best biryani in town.,2026-07-05
123,21381,4,Food was cold on arrival.,2025-10-19
124,2606,1,Portion size was small.,2025-03-09
125,14507,4,"Great food, arrived hot!",2026-04-19
126,2570,2,Absolutely delicious.,2025-11-10
127,23706,5,Best biryani in town.,2025-11-30
128,713,2,"Great food, arrived hot!",2024-05-30
129,5343,2,Delivery was late but food was good.,2026-01-12
130,12536,4,"Great food, arrived hot!",2026-05-30
131,21606,4,Order was missing an item.,2026-02-08
132,15359,4,"Great food, arrived hot!",2024-12-16
133,11263,,Fresh and tasty.,2026-06-07
134,11711,5,Average experience.,2025-07-02
135,8471,2,Would not recommend.,2026-01-09
136,4648,2,Food was cold on arrival.,2026-05-02
137,9328,,Best biryani in town.,2026-06-29
138,19843,5,"Great food, arrived hot!",2025-10-31
139,1512,5,"Loved it, will order again.",2025-12-30
140,13337,4,"Loved it, will order again.",2024-12-14
141,18197,3,Perfect as always.,2026-03-17
142,12030,3,Delivery was late but food was good.,2025-02-22
143,5817,5,Perfect as always.,2024-10-28
144,830,4,"Loved it, will order again.",2025-07-27
145,8730,3,Rider was polite and quick.,2026-03-27
146,21909,4,Portion size was small.,2026-02-26
147,22027,5,Average experience.,2025-10-29
148,6527,4,Perfect as always.,08/25/2025
149,12930,4,Food was cold on arrival.,2026-06-05
150,21639,5,Food was cold on arrival.,2025-12-24
151,22196,5,Absolutely delicious.,2026-03-15
152,8326,5,"Great food, arrived hot!",2025-03-25
153,18304,5,Food was cold on arrival.,2025-12-23
154,7905,5,Order was missing an item.,2025-08-04
155,9227,4,Delivery was late but food was good.,2026-05-07
156,10018,5,"Great food, arrived hot!",2025-11-13
157,22203,5,Best biryani in town.,2026-04-21
158,5025,4,Perfect as always.,2024-12-02
159,18833,5,"Great food, arrived hot!",2025-05-28
160,20925,2,Order was missing an item.,2026-06-06
161,18486,4,Delivery was late but food was good.,2025-04-16
162,9234,4,Food was cold on arrival.,2025-01-24
163,3345,4,"Great food, arrived hot!",2024-06-12
164,18041,3,"Loved it, will order again.",2026-06-17
165,12352,5,"Loved it, will order again.",2026-04-14
166,9497,5,Order was missing an item.,2026-01-26
167,24117,5,Food was cold on arrival.,2024-11-20
168,24607,5,Rider was polite and quick.,2024-10-22
169,18904,4,Packaging could be better.,2025-04-04
170,21056,3,Portion size was small.,2026-04-28
171,4692,5,Delivery was late but food was good.,2026-02-16
172,15143,5,Value for money.,2024-12-08
173,18055,4,Portion size was small.,2025-09-26
174,21176,2,Order was missing an item.,06/01/2026
175,4204,5,Average experience.,2024-11-17
176,12367,5,Value for money.,2026-05-13
177,20610,5,Order was missing an item.,2025-04-19
178,1788,5,Absolutely delicious.,2026-01-05
179,18318,3,Average experience.,2026-03-25
180,15766,3,Best biryani in town.,2026-01-07
181,7010,,Portion size was small.,2025-07-23
182,17596,4,Food was cold on arrival.,2026-06-04
183,14534,4,Best biryani in town.,2026-05-08
184,3324,,Portion size was small.,2025-10-05
185,21699,5,Food was cold on arrival.,2026-02-01
186,15396,4,Packaging could be better.,2025-09-10
187,2006,3,"Great food, arrived hot!",2025-05-17
188,130,5,Fresh and tasty.,2026-01-24
189,2658,5,Fresh and tasty.,2026-05-10
190,17872,5,Value for money.,2025-01-21
191,16379,5,Packaging could be better.,2025-12-03
192,24172,5,"Loved it, will order again.",2026-06-18
193,4745,3,Perfect as always.,2025-08-14
194,21931,5,Perfect as always.,2026-01-04
195,16932,,Best biryani in town.,2026-06-01
196,14299,5,Average experience.,2025-07-16
197,15266,4,Value for money.,2026-06-12
198,7723,,Packaging could be better.,2025-01-21
199,15634,4,"Loved it, will order again.",2026-06-15
200,14890,4,Food was cold on arrival.,2026-05-29
201,6121,1,Best biryani in town.,2025-12-21
202,2084,5,Would not recommend.,2026-02-06
203,13451,5,Delivery was late but food was good.,2024-12-31
204,7687,5,"Great food, arrived hot!",2025-10-12
205,13756,5,Perfect as always.,2025-10-20
206,17221,4,"Great food, arrived hot!",2026-03-30
207,16464,4,Value for money.,2024-10-24
208,4649,3,Would not recommend.,2025-08-09
209,19897,4,Rider was polite and quick.,2026-05-11
210,5247,2,"Great food, arrived hot!",2025-03-19
211,8510,5,Rider was polite and quick.,2024-06-17
212,1676,4,Portion size was small.,2026-02-03
213,24875,5,Order was missing an item.,2026-05-14
214,4047,5,Packaging could be better.,2026-06-06
215,20947,4,Would not recommend.,2024-02-04
216,18802,5,Would not recommend.,2025-05-01
217,7454,1,Portion size was small.,2025-10-09
218,20183,4,Fresh and tasty.,2024-11-05
219,10277,4,Absolutely delicious.,2025-11-27
220,20048,5,Best biryani in town.,2026-05-28
221,13004,5,Order was missing an item.,2025-09-30
222,22702,,Food was cold on arrival.,2026-02-25
223,18910,3,Food was cold on arrival.,2026-05-22
224,3896,5,Value for money.,2025-02-01
225,23610,5,Would not recommend.,2024-08-03
226,13520,2,"Great food, arrived hot!",2025-11-20
227,22645,3,Fresh and tasty.,2026-06-16
228,8561,5,Delivery was late but food was good.,2024-10-27
229,5884,5,"Great food, arrived hot!",2024-06-19
230,3292,,Portion size was small.,2026-03-22
231,1553,4,Portion size was small.,2025-12-09
232,2057,5,"Loved it, will order again.",2025-07-28
233,11820,3,Fresh and tasty.,25/06/2026
234,9443,5,Absolutely delicious.,2025-07-16
235,17566,5,Perfect as always.,2026-04-17
236,14649,3,Packaging could be better.,2025-12-04
237,24552,4,Order was missing an item.,2025-07-25
238,24399,4,Would not recommend.,2025-05-03
239,21340,5,Packaging could be better.,2025-12-06
240,8699,3,Portion size was small.,2025-10-10
241,18091,4,Portion size was small.,2025-12-14
242,5019,5,Packaging could be better.,2024-10-01
243,17233,5,Portion size was small.,2026-03-17
244,18443,5,Fresh and tasty.,2025-01-03
245,12952,3,Food was cold on arrival.,2026-02-23
246,3792,1,Order was missing an item.,2026-06-27
247,12811,5,Would not recommend.,2026-02-23
248,3331,4,Would not recommend.,2026-06-05
249,8716,4,Delivery was late but food was good.,2026-02-05
250,19022,4,Perfect as always.,2024-08-04
251,5639,4,Packaging could be better.,2024-10-21
252,19250,4,"Loved it, will order again.",2026-03-13
253,17580,1,Order was missing an item.,2024-09-28
254,12845,3,Value for money.,2025-09-01
255,19936,3,Delivery was late but food was good.,2025-04-09
256,13639,,Average experience.,2025-08-29
257,17598,3,Portion size was small.,02/12/2025
258,12086,3,Rider was polite and quick.,2025-08-08
259,11468,5,Packaging could be better.,2025-10-14
260,22731,3,Order was missing an item.,2025-02-05
261,15419,4,Absolutely delicious.,2026-02-03
262,23465,5,Fresh and tasty.,2026-06-29
263,2545,4,Rider was polite and quick.,2026-05-22
264,10412,4,Fresh and tasty.,2026-06-18
265,23001,5,Absolutely delicious.,2026-05-08
266,8890,4,Portion size was small.,2026-02-01
267,342,5,Would not recommend.,2025-03-24
268,663,4,Delivery was late but food was good.,2024-01-08
269,4971,4,Absolutely delicious.,2024-06-06
270,5987,5,Packaging could be better.,2026-05-05
271,17708,1,Absolutely delicious.,2026-06-26
272,23772,5,Would not recommend.,2025-09-23
273,6935,2,Packaging could be better.,2026-03-31
274,3082,4,Value for money.,2025-12-25
275,20376,3,Average experience.,2026-06-20
276,933,4,Value for money.,2025-04-24
277,6248,5,Fresh and tasty.,2024-04-03
278,6858,3,Food was cold on arrival.,2026-06-03
279,1475,5,Average experience.,2025-09-04
280,9296,5,Average experience.,2026-03-04
281,20297,4,Would not recommend.,2026-02-19
282,5006,4,Packaging could be better.,2024-09-21
283,22465,4,Absolutely delicious.,2026-05-30
284,3574,4,Average experience.,2024-07-05
285,21923,,Absolutely delicious.,2024-04-27
286,10488,1,Rider was polite and quick.,2025-12-24
287,1704,2,"Loved it, will order again.",2024-07-21
288,23592,4,Fresh and tasty.,2026-02-05
289,19174,3,Would not recommend.,2026-05-05
290,21944,4,"Loved it, will order again.",2026-03-29
291,10802,4,Rider was polite and quick.,2025-11-19
292,1360,5,"Great food, arrived hot!",2026-05-01
293,6257,3,Perfect as always.,2026-04-17
294,20210,3,Value for money.,2024-08-25
295,9934,,"Loved it, will order again.",2026-07-07
296,8402,3,Absolutely delicious.,2026-03-01
297,22427,3,Rider was polite and quick.,2025-08-17
298,12010,4,Average experience.,2025-12-28
299,9515,4,Rider was polite and quick.,2026-05-29
300,2110,5,Perfect as always.,2025-01-10
301,14412,4,Fresh and tasty.,2024-11-10
302,22580,4,Would not recommend.,2026-06-29
303,18808,5,Delivery was late but food was good.,2024-06-04
304,14511,3,Best biryani in town.,2026-03-23
305,16904,5,Packaging could be better.,2024-05-01
306,7821,5,Order was missing an item.,2024-08-04
307,9162,4,Average experience.,2025-08-06
308,3706,4,Best biryani in town.,2024-08-14
309,20160,2,Order was missing an item.,2025-11-01
310,9808,5,Best biryani in town.,2025-08-24
311,9866,4,Order was missing an item.,2025-10-12
312,16025,4,Delivery was late but food was good.,2026-06-10
313,1649,5,Absolutely delicious.,2024-07-13
314,24076,5,Food was cold on arrival.,2025-09-19
315,6125,3,Absolutely delicious.,2024-12-13
316,16082,4,Packaging could be better.,2025-11-13
317,19983,4,Best biryani in town.,2026-05-28
318,10417,4,Value for money.,2025-08-25
319,13963,4,Fresh and tasty.,2026-04-12
320,3060,1,Perfect as always.,2025-07-26
321,6201,4,Packaging could be better.,2026-03-29
322,700,5,Rider was polite and quick.,2025-12-24
323,24262,4,Rider was polite and quick.,2025-08-25
324,17773,5,Order was missing an item.,2026-05-06
325,6695,2,Perfect as always.,2024-11-10
326,9463,,Perfect as always.,2025-09-22
327,13061,3,Best biryani in town.,2026-03-05
328,9338,3,"Loved it, will order again.",2025-09-25
329,4390,5,Rider was polite and quick.,2024-02-05
330,21516,5,Portion size was small.,2024-03-27
331,10966,1,Perfect as always.,2025-02-28
332,21379,5,Average experience.,2026-04-26
333,9095,3,Average experience.,2026-03-31
334,15436,5,Delivery was late but food was good.,2025-08-02
335,7286,5,Order was missing an item.,2024-12-06
336,237,4,Delivery was late but food was good.,2025-04-19
337,9702,2,Delivery was late but food was good.,2025-12-10
338,11441,4,"Loved it, will order again.",2024-11-27
339,17579,4,"Great food, arrived hot!",2025-09-09
340,16694,5,Rider was polite and quick.,2025-11-15
341,7447,4,Packaging could be better.,2025-07-03
342,9801,5,Order was missing an item.,2025-06-01
343,13335,5,Packaging could be better.,2026-05-06
344,17326,4,Fresh and tasty.,2026-07-02
345,11683,4,Best biryani in town.,2024-09-28
346,6103,5,Order was missing an item.,2025-05-17
347,14025,5,"Loved it, will order again.",2025-06-28
348,6235,4,Would not recommend.,2024-03-14
349,9392,2,Best biryani in town.,2026-07-03
350,5004,4,Would not recommend.,2026-02-28
351,1136,4,Fresh and tasty.,2026-02-02
352,16073,3,Fresh and tasty.,2026-04-19
353,4707,3,"Loved it, will order again.",2025-01-31
354,2594,3,Absolutely delicious.,2026-07-09
355,9445,3,Would not recommend.,2024-02-24
356,24919,5,Order was missing an item.,2025-10-05
357,11810,1,Portion size was small.,2025-03-19
358,22893,4,Packaging could be better.,2025-08-03
359,15269,5,Average experience.,2024-11-27
360,22174,4,Perfect as always.,2026-04-17
361,2466,4,"Great food, arrived hot!",2026-05-10
362,13961,1,Fresh and tasty.,2026-05-04
363,19759,1,Packaging could be better.,2025-04-11
364,6526,1,Rider was polite and quick.,2025-07-22
365,24630,5,Absolutely delicious.,2026-01-27
366,9218,3,Would not recommend.,2026-04-04
367,1708,4,Packaging could be better.,2026-05-13
368,7832,5,Portion size was small.,2026-04-23
369,18322,5,Best biryani in town.,2026-03-07
370,8776,3,Portion size was small.,2025-10-30
371,9074,4,Fresh and tasty.,2025-10-04
372,14774,3,Would not recommend.,2025-04-16
373,9376,4,Packaging could be better.,2025-03-14
374,21733,5,Food was cold on arrival.,2026-05-19
375,6811,2,"Great food, arrived hot!",2025-09-18
376,838,4,Delivery was late but food was good.,2026-05-14
377,14668,4,Absolutely delicious.,2026-03-05
378,20595,4,Fresh and tasty.,30/05/2026
379,22876,5,Absolutely delicious.,2024-12-14
380,2227,4,Would not recommend.,2024-09-19
381,11944,5,Order was missing an item.,2025-08-02
382,10352,4,Average experience.,2024-05-06
383,914,5,Absolutely delicious.,2025-12-11
384,3951,3,Portion size was small.,2025-07-18
385,10884,4,Rider was polite and quick.,2025-01-31
386,21721,5,Delivery was late but food was good.,2025-10-15
387,248,3,Delivery was late but food was good.,2025-07-14
388,17928,4,Best biryani in town.,2026-05-25
389,24148,4,Best biryani in town.,2025-11-20
390,17111,3,Average experience.,2024-04-29
391,19482,4,Would not recommend.,2026-01-01
392,24593,4,"Great food, arrived hot!",2024-12-14
393,23867,3,"Loved it, will order again.",2025-07-02
394,19157,4,Food was cold on arrival.,2025-04-01
395,20562,4,Absolutely delicious.,2024-06-25
396,18328,5,Value for money.,2026-04-18
397,11662,3,Best biryani in town.,2025-07-02
398,15891,4,Rider was polite and quick.,2026-04-15
399,13194,2,Packaging could be better.,2025-02-24
400,14763,4,Rider was polite and quick.,2026-01-01
401,1769,2,Delivery was late but food was good.,2026-06-17
402,24164,5,Perfect as always.,2026-06-22
403,21015,3,Order was missing an item.,2026-06-23
404,1994,5,Rider was polite and quick.,2025-11-04
405,23456,2,Average experience.,2026-02-10
406,1006,4,Would not recommend.,2025-06-08
407,23251,2,Delivery was late but food was good.,2026-05-12
408,16819,5,Average experience.,2025-06-08
409,16249,4,Food was cold on arrival.,2026-05-22
410,17663,5,Order was missing an item.,2025-06-16
411,22816,1,Fresh and tasty.,2025-10-27
412,8560,4,Rider was polite and quick.,2024-05-05
413,273,2,Rider was polite and quick.,2024-04-10
414,23975,5,Packaging could be better.,2026-02-27
415,8633,,Delivery was late but food was good.,2024-05-01
416,18251,4,"Great food, arrived hot!",2024-03-17
417,22516,5,Fresh and tasty.,2026-02-26
418,15606,5,Food was cold on arrival.,2026-04-22
419,21907,3,Order was missing an item.,2024-10-20
420,10162,1,Fresh and tasty.,2026-06-23
421,711,4,Rider was polite and quick.,2024-04-04
422,15260,4,"Loved it, will order again.",2026-07-06
423,926,5,Best biryani in town.,2025-11-26
424,3003,2,Portion size was small.,2024-09-30
425,21578,5,Food was cold on arrival.,2026-06-18
426,4518,5,Food was cold on arrival.,2025-08-31
427,18420,2,"Loved it, will order again.",2024-04-18
428,16714,4,Perfect as always.,2024-10-14
429,20980,2,Absolutely delicious.,2025-09-27
430,20190,5,Packaging could be better.,2026-01-31
431,14709,5,Rider was polite and quick.,2026-06-08
432,2221,5,Would not recommend.,2025-05-27
433,13721,5,"Loved it, will order again.",2025-07-14
434,22919,4,Fresh and tasty.,2024-12-05
435,3735,3,Value for money.,2026-01-15
436,9389,5,Value for money.,2026-06-07
437,13788,5,Perfect as always.,2024-02-16
438,9809,5,Rider was polite and quick.,2026-05-29
439,13398,1,Order was missing an item.,2026-06-02
440,12238,5,Perfect as always.,2026-06-19
441,19766,3,Delivery was late but food was good.,2025-03-24
442,11730,4,"Great food, arrived hot!",2025-04-07
443,21643,5,Perfect as always.,23/01/2026
444,20555,2,Order was missing an item.,2025-11-23
445,2183,4,Portion size was small.,2025-10-22
446,9043,4,Order was missing an item.,2025-07-06
447,12879,4,Rider was polite and quick.,2024-11-18
448,19754,5,Portion size was small.,2025-08-06
449,9230,3,Packaging could be better.,2025-08-13
450,14818,4,Absolutely delicious.,2025-11-25
451,2254,5,Best biryani in town.,2025-10-01
452,8262,,Order was missing an item.,05/20/2026
453,4579,5,Portion size was small.,2025-12-10
454,5076,5,Portion size was small.,2025-09-25
455,20886,5,Best biryani in town.,2026-02-25
456,20814,2,Portion size was small.,2024-05-19
457,2637,5,Rider was polite and quick.,2026-01-01
458,11657,2,Perfect as always.,29/04/2026
459,7022,2,Packaging could be better.,2026-06-07
460,5502,5,Food was cold on arrival.,2025-09-19
461,24962,5,Average experience.,2025-07-17
462,2174,5,Food was cold on arrival.,2025-02-02
463,8370,5,Delivery was late but food was good.,2024-09-23
464,4453,5,"Loved it, will order again.",2026-01-04
465,1057,5,Fresh and tasty.,2026-05-28
466,8690,3,Order was missing an item.,2025-06-11
467,12548,5,Fresh and tasty.,2025-04-21
468,13,4,Delivery was late but food was good.,2026-04-21
469,1619,3,Portion size was small.,2025-04-24
470,19526,5,"Great food, arrived hot!",2026-01-22
471,12389,5,Food was cold on arrival.,2024-09-10
472,11545,5,Portion size was small.,2024-11-12
473,5410,4,Packaging could be better.,2026-05-11
474,21091,4,Food was cold on arrival.,2025-03-24
475,7303,4,Food was cold on arrival.,2026-07-03
476,11819,5,Fresh and tasty.,2025-06-01
477,19596,4,Perfect as always.,2026-01-23
478,3667,4,Absolutely delicious.,2024-05-28
479,16931,5,Portion size was small.,2026-01-19
480,3375,5,Food was cold on arrival.,2025-04-29
481,4048,4,Absolutely delicious.,2026-02-10
482,24167,4,Average experience.,2026-01-17
483,17329,3,Food was cold on arrival.,2026-01-29
484,13990,5,Would not recommend.,2025-04-26
485,5170,2,Fresh and tasty.,2026-04-18
486,9528,4,Fresh and tasty.,2025-09-29
487,11666,5,Absolutely delicious.,2026-06-18
488,7155,4,"Loved it, will order again.",2025-01-28
489,7495,4,Value for money.,2026-01-02
490,17717,4,Average experience.,2025-05-03
491,18376,5,Average experience.,2026-03-02
492,12239,4,Portion size was small.,2026-04-07
493,473,5,Portion size was small.,2026-06-20
494,23878,5,Perfect as always.,12/07/2025
495,24386,5,Perfect as always.,2026-04-05
496,2557,4,Perfect as always.,2024-12-25
497,9401,4,Delivery was late but food was good.,2024-03-05
498,1646,1,Perfect as always.,2024-05-01
499,18593,5,Packaging could be better.,2026-02-15
500,10820,5,"Loved it, will order again.",2026-01-29
501,14987,5,Value for money.,2026-05-22
502,23803,2,Delivery was late but food was good.,2025-04-02
503,4406,5,Would not recommend.,2024-03-12
504,19907,4,Value for money.,2025-12-10
505,1486,5,Perfect as always.,2025-09-06
506,12732,5,Would not recommend.,2025-09-26
507,7943,3,Rider was polite and quick.,2024-06-07
508,6874,3,Average experience.,2025-12-26
509,19751,3,Would not recommend.,2026-06-12
510,587,5,Packaging could be better.,2026-05-31
511,18790,2,Packaging could be better.,2025-09-13
512,20416,1,Rider was polite and quick.,2026-03-06
513,12004,5,Average experience.,2026-02-03
514,994,5,"Loved it, will order again.",2025-10-18
515,21449,5,Delivery was late but food was good.,2024-11-19
516,7824,5,"Great food, arrived hot!",2026-05-16
517,2786,3,"Loved it, will order again.",2026-01-09
518,1917,4,Portion size was small.,2025-07-03
519,409,5,Absolutely delicious.,2026-04-12
520,22005,3,Would not recommend.,2026-03-01
521,21469,5,Order was missing an item.,2025-12-13
522,10767,4,"Great food, arrived hot!",2025-09-11
523,7988,4,"Loved it, will order again.",2025-12-22
524,1862,3,Order was missing an item.,2026-06-15
525,23576,2,Packaging could be better.,2025-06-30
526,9228,3,Food was cold on arrival.,2024-12-18
527,4824,4,Fresh and tasty.,2024-03-01
528,7697,1,Perfect as always.,2024-05-05
529,15663,5,Absolutely delicious.,2024-09-25
530,15284,2,Would not recommend.,2026-04-03
531,14780,4,Portion size was small.,2025-01-02
532,3678,3,Would not recommend.,2025-12-18
533,8857,4,Absolutely delicious.,2026-01-17
534,24088,2,"Great food, arrived hot!",2025-04-02
535,14957,2,"Great food, arrived hot!",2026-04-11
536,6400,5,Average experience.,2026-03-25
537,7197,5,Value for money.,2025-11-17
538,21352,5,Perfect as always.,2025-08-21
539,16526,5,Average experience.,2026-01-07
540,10739,5,Best biryani in town.,2026-03-03
541,3638,4,Best biryani in town.,2026-06-10
542,1826,4,Would not recommend.,2026-06-27
543,19510,5,Order was missing an item.,2026-06-25
544,7371,5,"Loved it, will order again.",2026-02-16
545,15619,3,Delivery was late but food was good.,2026-04-10
546,13415,3,Food was cold on arrival.,2026-06-07
547,759,,Would not recommend.,2026-04-01
548,12766,3,Fresh and tasty.,2025-03-10
549,1954,1,Would not recommend.,2026-06-30
550,2472,,Would not recommend.,2026-04-03
551,12539,4,Food was cold on arrival.,2026-04-16
552,23004,5,Rider was polite and quick.,2024-05-30
553,21707,5,Packaging could be better.,2024-02-29
554,22185,5,Rider was polite and quick.,2025-12-31
555,12487,4,Fresh and tasty.,2026-05-04
556,4259,2,"Loved it, will order again.",2026-05-22
557,17975,4,Best biryani in town.,2024-01-23
558,7941,5,"Great food, arrived hot!",2026-04-07
559,1159,5,Value for money.,2026-06-21
560,14934,5,Best biryani in town.,2026-01-25
561,18071,5,Absolutely delicious.,2025-04-14
562,4322,4,Portion size was small.,2025-05-02
563,20040,4,Fresh and tasty.,2025-12-21
564,4056,4,Perfect as always.,2025-01-12
565,10747,4,Value for money.,2026-04-12
566,21109,3,Delivery was late but food was good.,2025-03-15
567,3378,3,Best biryani in town.,2026-04-18
568,4630,4,Value for money.,2025-08-30
569,9120,5,Order was missing an item.,2025-10-28
570,13165,3,Portion size was small.,2026-03-23
571,19251,2,Average experience.,2025-10-30
572,13663,4,Average experience.,2025-10-29
573,21743,5,Rider was polite and quick.,2025-10-16
574,16127,5,Food was cold on arrival.,2025-11-29
575,20823,4,Best biryani in town.,19/11/2025
576,12046,4,Value for money.,2026-05-12
577,5857,4,Portion size was small.,2026-05-16
578,8714,5,Order was missing an item.,2025-10-10
579,11057,5,Fresh and tasty.,2026-05-29
580,5735,2,Food was cold on arrival.,2026-04-01
581,23280,3,Fresh and tasty.,2025-09-26
582,15430,,Food was cold on arrival.,2026-05-14
583,7120,2,Fresh and tasty.,2026-06-08
584,8739,5,Perfect as always.,2026-01-13
585,20276,5,"Great food, arrived hot!",2026-02-28
586,15009,5,Absolutely delicious.,2026-01-01
587,15672,4,Food was cold on arrival.,2025-10-18
588,7904,5,Best biryani in town.,2024-11-18
589,2568,5,Food was cold on arrival.,2026-02-01
590,13849,5,"Loved it, will order again.",2026-03-18
591,14752,4,Perfect as always.,2025-10-24
592,9554,4,Packaging could be better.,2025-06-24
593,8936,1,Order was missing an item.,2026-03-27
594,20969,5,Absolutely delicious.,26/01/2026
595,8921,5,Best biryani in town.,2024-07-18
596,18947,5,Fresh and tasty.,2025-01-21
597,9310,4,"Great food, arrived hot!",2025-01-07
598,20460,1,"Loved it, will order again.",2025-03-23
599,10610,4,Perfect as always.,2026-04-05
